question_id,poll_id,race_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,start_date,end_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,created_at,notes,url,stage,party,answer,candidate_id,candidate_name,pct,,
148897,77168,8916,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,,rv,rv-r,Online,U.S. President,10/26/21,10/28/21,,FALSE,,FALSE,FALSE,2011-03-21 11:59,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,primary,REP,Trump Sr.,16651,Donald Trump,47,,
148897,77168,8916,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,,rv,rv-r,Online,U.S. President,10/26/21,10/28/21,,FALSE,,FALSE,FALSE,2011-03-21 11:59,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,primary,REP,Pence,16638,Mike Pence,9,,
148897,77168,8916,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,,rv,rv-r,Online,U.S. President,10/26/21,10/28/21,,FALSE,,FALSE,FALSE,2011-03-21 11:59,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,primary,REP,DeSantis,16646,Ron DeSantis,10,,
148897,77168,8916,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,,rv,rv-r,Online,U.S. President,10/26/21,10/28/21,,FALSE,,FALSE,FALSE,2011-03-21 11:59,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,primary,REP,Haley,16640,Nimrata R. Haley,6,,
148897,77168,8916,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,,rv,rv-r,Online,U.S. President,10/26/21,10/28/21,,FALSE,,FALSE,FALSE,2011-03-21 11:59,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,primary,REP,Cruz,16641,Ted Cruz,4,,
148897,77168,8916,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,,rv,rv-r,Online,U.S. President,10/26/21,10/28/21,,FALSE,,FALSE,FALSE,2011-03-21 11:59,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,primary,REP,Pompeo,16652,Mike Pompeo,1,,
148897,77168,8916,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,,rv,rv-r,Online,U.S. President,10/26/21,10/28/21,,FALSE,,FALSE,FALSE,2011-03-21 11:59,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,primary,REP,Rubio,16643,Marco Rubio,1,,
148897,77168,8916,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,,rv,rv-r,Online,U.S. President,10/26/21,10/28/21,,FALSE,,FALSE,FALSE,2011-03-21 11:59,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,primary,REP,T. Scott,16648,Tim Scott,3,,
148898,77168,8916,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,,rv,rv-r,Online,U.S. President,10/26/21,10/28/21,,FALSE,,FALSE,FALSE,2011-03-21 11:59,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,primary,REP,Pence,16638,Mike Pence,23,,
148898,77168,8916,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,,rv,rv-r,Online,U.S. President,10/26/21,10/28/21,,FALSE,,FALSE,FALSE,2011-03-21 11:59,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,primary,REP,DeSantis,16646,Ron DeSantis,21,,
